date,broadcaster,gt_start,gt_end,overlap,gt_company,gt_product,pred_company,pred_product,company_sim,product_sim,company_correct,product_correct
20241128,movie,0.0,11.01,0.728,환경부와 환경책임보험사업단,캠페인,환경부와 환경책임보험사업단,캠페인,1.0,1.0,True,True
20241128,movie,11.01,30.54,1.0,코지마,안마의자,코지마,안마의자,1.0,1.0,True,True
20241128,movie,30.54,38.09,1.0,SBS,고릴라광고짧은음원,박하선의씨네타운,오프닝곡,0.0357,0.3076,False,False
20241128,movie,38.09,52.31,1.0,박하선의씨네타운,오프닝곡,박하선의씨네타운,오프닝곡,1.0,1.0,True,True
20241128,movie,465.07,485.0,1.0,NH투자증권,퇴직연금,NH투자증권,퇴직연금,1.0,1.0,True,True
20241128,movie,485.0,504.78,1.0,문산역3차동문디이스트센트럴,문산역3차동문디이스트센트럴,동문건설,동문디이스트센트럴,0.6447,0.9,False,True
20241128,movie,504.78,525.05,0.652,삼성증권,퇴직연금,삼성증권,퇴직연금,1.0,1.0,True,True
20241128,movie,564.97,584.92,1.0,롯데렌탈,롯데비즈렌탈,노트북,고소정비 지게차 로봇,0.3015,0.3281,False,False
20241128,movie,584.92,604.78,1.0,서울원,아이파크,서울원,라이프컬처시대,1.0,0.7302,True,False
20241128,movie,604.78,624.67,1.0,제일헬스사이언스,케펜텍,JLS사이언스,개펜테크,0.6005,0.7856,False,True
20241128,movie,624.67,644.83,1.0,현대자동차,현대안심PLUS할부,개펜테크,JLS사이언스,0.3487,0.3835,False,False
20241128,movie,644.83,664.97,1.0,현대엔지니어링,현대엔지니어링,현대엔지니어링,신광교클라우드시티,1.0,0.6541,True,False
20241128,movie,664.97,685.0,1.0,하림,닭고기,하림,자연실록,1.0,0.328,True,False
20241128,movie,685.0,705.06,1.0,박하선의씨네타운,배우중간곡,박하선의씨네타운,오프닝곡,1.0,0.8419,True,True
20241128,movie,1625.49,1684.98,0.991,닥터피엘,이중필터샤워기,SBS,캠페인,0.2086,0.3709,False,False
20241128,movie,1684.98,1687.06,1.0,SBS,고릴라광고짧은음원,,,0.0,0.0,False,False
20241128,movie,1687.06,1696.97,1.0,친환경농산물자조금관리위원회,친환경농산물,환경부와 환경책임보험사업단,캠페인,0.1418,0.4801,False,False
20241128,movie,1696.97,1716.7,1.0,포항,구룡포 해양미식축제,친환경농산물자조금관리위원회,캠페인,0.3759,0.6403,False,False
20241128,movie,1716.7,1736.87,1.0,SBS,유니버스 리그,SBS,유니버설리그,1.0,0.9069,True,True
20241128,movie,1736.87,1756.87,1.0,뮤지컬,긴긴밤,SBS,유니버설리그,0.2123,0.5578,False,False
20241128,movie,1756.87,1776.49,1.0,SBS,고릴라광고,링크아트센터,뮤지컬 긴긴밤,0.1362,0.6705,False,False
20241128,movie,1776.49,1796.84,1.0,SBS,고릴라광고짧은음원,,,0.0,0.0,False,False
20241128,movie,1796.84,1799.19,1.0,SBS,SBS짧은음원,SBS,생활정보,1.0,0.2082,True,False
20241128,movie,1858.15,1888.34,0.922,박하선의씨네타운,중간곡,박하선의씨네타운,오프닝곡,1.0,0.8012,True,True
20241128,movie,2923.98,2943.92,1.0,가마치통닭,가마치통닭,,,0.0,0.0,False,False
20241128,movie,2943.92,2963.92,1.0,고려기프트,판촉물,고려기프트,단축물,1.0,0.8083,True,True
20241128,movie,2963.92,2983.92,1.0,미래에셋증권,퇴직연금,미래에셋증권,퇴직연금,1.0,1.0,True,True
20241128,movie,2983.92,3003.96,1.0,KB국민은행,KB스타뱅킹,KB국민은행,스타뱅킹,1.0,0.9,True,True
20241128,movie,3003.96,3023.84,1.0,새만금개발공사,새만금수변도시,새만금개발공사,캠페인,1.0,0.6125,True,False
20241128,movie,3023.84,3043.91,1.0,코지마,안마의자,신한,프리미어,0.6459,0.4896,False,False
20241128,movie,3043.91,3063.81,1.0,신한,신한 프리미어,신한,프리미어,1.0,0.9,True,True
20241128,movie,3063.81,3084.04,1.0,보건복지부,금연캠페인,보건복지부,캠페인,1.0,0.9,True,True
20241128,movie,3084.04,3103.9,1.0,제일헬스사이언스,케펜텍,CLS 사이언스,캔펜 테크,0.5349,0.8,False,True
20241128,movie,3103.9,3144.13,1.0,소방청,119응급의료상담서비스,소방청,캠페인,1.0,0.3405,True,False
20241128,movie,3144.13,3158.35,1.0,12시에주현영,12시에주현영,SBS,파워FM,0.1497,0.1956,False,False
20241128,movie,3158.35,3233.05,1.0,씨네타운,협찬경품안내,씨네타운,협찬경품안내,1.0,1.0,True,True
20241128,movie,3411.71,3431.57,1.0,성원애드피아,캘린더,성원에드피아,캘린더주문,0.978,0.9,True,True
20241128,movie,3431.57,3451.75,1.0,고용노동부,직업병안심센터,고용노동부,직업병안심센터,1.0,1.0,True,True
20241128,movie,3451.75,3471.67,1.0,뮤지컬 리지,뮤지컬 리지,삼진제약,개보린,0.3865,0.6929,False,False
20241128,movie,3471.67,3491.83,1.0,삼진제약,게보린,삼진제약,개보린,1.0,0.9403,True,True
20241128,movie,3491.83,3511.58,1.0,경기도,더경기패스,더경기패스,더경기패스,0.7236,1.0,False,True
20241128,movie,3511.58,3550.98,1.0,한국도로공사,캠페인,한국도로공사,캠페인,1.0,1.0,True,True
20241128,movie,3550.98,3570.98,1.0,숭실사이버대학교,숭실사이버대학교,숭실사이버대학교,숭쏘,1.0,0.5406,True,False
20241128,movie,3570.98,3590.01,0.684,SBS,틈만나면,SBS,틈만나면,1.0,1.0,True,True
